año_comercial,tramo_según_ventas_5_tramos,región_del_domicilio_o_casa_matriz,número_de_empresas,ventas_anuales_en_uf,número_de_trabajadores_dependientes_informados,renta_neta_informada_en_uf,trabajadores_ponderados_por_meses_trabajados,número_de_trabajadores_dependientes_de_género_femenino_informados,trabajadores_de_género_femenino,trabajadores_de_género_femenino_ponderados_por_meses_trabajados,número_de_trabajadores_dependientes_de_género_masculino_informados,renta_neta_informada_en_uf_trabajadores_de_género_masculino,trabajadores_de_género_masculino_ponderados_por_meses_trabajados,número_de_trabajadores_a_honorarios_informados,honorarios_pagados_informados_en_uf,trabajadores_a_honorarios_ponderados_por_meses_trabajados,número_de_trabajadores_a_honorarios_de_género_femenino_informados,honorarios_pagados_informados_a_trabajadores_de_género_femenino_en_uf,trabajadores_a_honorarios_de_género_femenino_ponderados_por_meses_trabajados,número_de_trabajadores_a_honorarios_de_género_masculino_informados,honorarios_pagados_informados_a_trabajadores_de_género_masculino_en_uf,trabajadores_a_honorarios_de_género_masculino_ponderados_por_meses_trabajados
2005,Sin Ventas/Sin Información,Región de Los Lagos,5897,0,6151,1009495.689137435,4803.9991097323,2827,526889.8552875407,2342.4163180351,3318,482087.6515908199,2458.9161375311,2556,110550.5901422779,0.0,967,38279.1279221199,0.0,1589,72269.7732644534,0.0
2005,Sin Ventas/Sin Información,Región Aisén del Gral.Carlos Ibáñez del Campo,782,0,423,84439.420777816,311.2499364328,136,27483.5089770497,107.0833156851,287,56955.9131296263,204.1666216846,795,63658.8961025313,0.0,253,14640.5116031542,0.0,542,49018.384029442,0.0
2005,Sin Ventas/Sin Información,Región de Magallanes y de la Antártica Chilena,1528,0,2013,507047.186478594,1671.9164830325,1126,261736.9312530533,976.4166007084,886,245305.2890164565,695.4165500134,645,44694.7569590687,0.0,248,11350.6751341312,0.0,397,32639.700588,0.0
2005,Sin Ventas/Sin Información,Región Metropolitana de Santiago,62415,0,232764,53820267.28415547,200418.226290437,76006,17861624.8476307,65040.5752985519,156377,35928280.63566945,135316.3162672149,63355,6594526.345229168,0.0,28485,2705988.468091765,0.0,34870,3871017.451717344,0.0
2005,Sin Ventas/Sin Información,Región de Los Ríos,2626,0,2316,407308.594302721,1902.0830679315,1178,229549.9907258839,986.8332135613,1138,177758.6030199058,915.2498680815,1150,81170.234666078,0.0,490,22556.9832368296,0.0,660,58613.2536356727,0.0
2005,Sin Ventas/Sin Información,Región de Arica y Parinacota,1712,0,909,56323.008866254,607.7498115004,220,16774.8812905295,163.2499621209,688,39439.7818961858,443.4998526284,474,14376.8534948254,0.0,188,4694.3705897754,0.0,286,9678.8049764838,0.0
2005,Sin Ventas/Sin Información,Región de Ñuble,3655,0,8881,1723431.947269633,7599.9159230614,4858,989057.8467841566,4210.1661959522,4018,733575.7711574656,3386.4995891366,2664,129611.9972246643,0.0,1132,47636.7864657104,0.0,1532,81942.46042827249,0.0
2005,Micro,Sin Información,560,*,5,*,4.4166660011,1,67.743026733,1.0,4,*,3.4166660011,26,*,0.0,13,*,0.0,13,*,0.0
2005,Micro,Región de Tarapacá,10319,4523463.08,8583,435283.088109487,4613.2476150885,3308,186586.3806215477,2013.7491483968,5235,247611.235483992,2588.0818120253,7740,180624.2354295213,0.0,3735,76547.1691854267,0.0,4005,103646.7892233194,0.0
2005,Micro,Región de Antofagasta,16615,8371882.39,10731,1059374.693694325,6269.9141737543,4810,573127.2497093108,3241.9990193441,5909,485729.1397804515,3022.9984327814,13618,331221.3621073143,0.0,7741,159478.0997603816,0.0,5877,170064.9794377065,0.0
